month,day_of_year,day_of_week,hour,total_vehicles_per_hour,ev_vehicles_per_hour
1,1,0,0,510.0,15.3
1,1,0,1,340.0,10.200000000000001
1,1,0,2,297.5,8.925
1,1,0,3,297.5,8.925
1,1,0,4,425.0,12.75
1,1,0,5,850.0,25.5
1,1,0,6,1912.5,57.375
1,1,0,7,2762.5,82.875
1,1,0,8,2975.0000000000005,89.25000000000001
1,1,0,9,2550.0,76.5
1,1,0,10,2337.5,70.125
1,1,0,11,2337.5,70.125
1,1,0,12,2337.5,70.125
1,1,0,13,2337.5,70.125
1,1,0,14,2465.0,73.95
1,1,0,15,2635.0,79.05000000000001
1,1,0,16,2890.0,86.7
1,1,0,17,2975.0000000000005,89.25000000000001
1,1,0,18,2635.0,79.05000000000001
1,1,0,19,2125.0,63.75
1,1,0,20,1700.0,51.0
1,1,0,21,1360.0,40.800000000000004
1,1,0,22,935.0,28.05
1,1,0,23,637.5,19.125
1,2,1,0,520.2,15.606000000000002
1,2,1,1,346.8,10.404000000000002
1,2,1,2,303.45,9.1035
1,2,1,3,303.45,9.1035
1,2,1,4,433.5,13.004999999999999
1,2,1,5,867.0,26.009999999999998
1,2,1,6,1950.75,58.52250000000001
1,2,1,7,2817.75,84.5325
1,2,1,8,3034.5000000000005,91.03500000000003
1,2,1,9,2601.0,78.03
1,2,1,10,2384.25,71.5275
1,2,1,11,2384.25,71.5275
1,2,1,12,2384.25,71.5275
1,2,1,13,2384.25,71.5275
1,2,1,14,2514.3,75.42900000000002
1,2,1,15,2687.7,80.631
1,2,1,16,2947.8,88.43400000000001
1,2,1,17,3034.5000000000005,91.03500000000003
1,2,1,18,2687.7,80.631
1,2,1,19,2167.5,65.025
1,2,1,20,1734.0,52.019999999999996
1,2,1,21,1387.2,41.61600000000001
1,2,1,22,953.6999999999999,28.610999999999997
1,2,1,23,650.25,19.5075
1,3,2,0,525.3,15.758999999999999
1,3,2,1,350.2,10.506
1,3,2,2,306.425,9.19275
1,3,2,3,306.425,9.19275
1,3,2,4,437.75,13.1325
1,3,2,5,875.5,26.265
1,3,2,6,1969.875,59.09625
1,3,2,7,2845.375,85.36125
1,3,2,8,3064.2500000000005,91.92750000000001
1,3,2,9,2626.5,78.795
1,3,2,10,2407.625,72.22875
1,3,2,11,2407.625,72.22875
1,3,2,12,2407.625,72.22875
1,3,2,13,2407.625,72.22875
1,3,2,14,2538.9500000000003,76.16850000000001
1,3,2,15,2714.05,81.42150000000001
1,3,2,16,2976.7000000000003,89.30100000000002
1,3,2,17,3064.2500000000005,91.92750000000001
1,3,2,18,2714.05,81.42150000000001
1,3,2,19,2188.75,65.66250000000001
1,3,2,20,1751.0,52.53
1,3,2,21,1400.8,42.024
1,3,2,22,963.05,28.891499999999997
1,3,2,23,656.625,19.69875
1,4,3,0,520.2,15.606000000000002
1,4,3,1,346.8,10.404000000000002
1,4,3,2,303.45,9.1035
1,4,3,3,303.45,9.1035
1,4,3,4,433.5,13.004999999999999
1,4,3,5,867.0,26.009999999999998
1,4,3,6,1950.75,58.52250000000001
1,4,3,7,2817.75,84.5325
1,4,3,8,3034.5000000000005,91.03500000000003
1,4,3,9,2601.0,78.03
1,4,3,10,2384.25,71.5275
1,4,3,11,2384.25,71.5275
1,4,3,12,2384.25,71.5275
1,4,3,13,2384.25,71.5275
1,4,3,14,2514.3,75.42900000000002
1,4,3,15,2687.7,80.631
1,4,3,16,2947.8,88.43400000000001
1,4,3,17,3034.5000000000005,91.03500000000003
1,4,3,18,2687.7,80.631
1,4,3,19,2167.5,65.025
1,4,3,20,1734.0,52.019999999999996
1,4,3,21,1387.2,41.61600000000001
1,4,3,22,953.6999999999999,28.610999999999997
1,4,3,23,650.25,19.5075
1,5,4,0,535.5,16.065
1,5,4,1,357.0,10.71
1,5,4,2,312.375,9.37125
1,5,4,3,312.375,9.37125
1,5,4,4,446.25,13.387500000000001
1,5,4,5,892.5,26.775000000000002
1,5,4,6,2008.125,60.243750000000006
1,5,4,7,2900.625,87.01875000000001
1,5,4,8,3123.7500000000005,93.71250000000002
1,5,4,9,2677.5,80.325
1,5,4,10,2454.375,73.63125000000001
1,5,4,11,2454.375,73.63125000000001
1,5,4,12,2454.375,73.63125000000001
1,5,4,13,2454.375,73.63125000000001
1,5,4,14,2588.25,77.64750000000001
1,5,4,15,2766.75,83.0025
1,5,4,16,3034.5,91.03500000000001
1,5,4,17,3123.7500000000005,93.71250000000002
1,5,4,18,2766.75,83.0025
1,5,4,19,2231.25,66.9375
1,5,4,20,1785.0,53.550000000000004
1,5,4,21,1428.0,42.84
1,5,4,22,981.7499999999999,29.4525
1,5,4,23,669.375,20.08125
1,6,5,0,541.875,16.25625
1,6,5,1,361.25,10.8375
1,6,5,2,289.0,8.67
1,6,5,3,252.875,7.58625
1,6,5,4,289.0,8.67
1,6,5,5,433.5,13.004999999999999
1,6,5,6,903.125,27.09375
1,6,5,7,1445.0,43.35
1,6,5,8,1986.875,59.60625
1,6,5,9,2348.125,70.44375000000001
1,6,5,10,2456.5,73.695
1,6,5,11,2456.5,73.695
1,6,5,12,2348.125,70.44375000000001
1,6,5,13,2239.75,67.1925
1,6,5,14,2167.5,65.025
1,6,5,15,2095.25,62.857499999999995
1,6,5,16,1986.875,59.60625
1,6,5,17,1806.25,54.1875
1,6,5,18,1625.625,48.768750000000004
1,6,5,19,1445.0,43.35
1,6,5,20,1264.3750000000002,37.931250000000006
1,6,5,21,1011.5,30.345
1,6,5,22,722.5,21.675
1,6,5,23,541.875,16.25625
1,7,6,0,446.24999999999994,13.387499999999998
1,7,6,1,356.99999999999994,10.709999999999999
1,7,6,2,297.49999999999994,8.924999999999999
1,7,6,3,237.99999999999997,7.14
1,7,6,4,208.24999999999997,6.247499999999999
1,7,6,5,237.99999999999997,7.14
1,7,6,6,446.24999999999994,13.387499999999998
1,7,6,7,743.75,22.3125
1,7,6,8,1130.4999999999998,33.91499999999999
1,7,6,9,1487.5,44.625
1,7,6,10,1725.4999999999998,51.764999999999986
1,7,6,11,1844.4999999999998,55.334999999999994
1,7,6,12,1784.9999999999998,53.54999999999999
1,7,6,13,1725.4999999999998,51.764999999999986
1,7,6,14,1784.9999999999998,53.54999999999999
1,7,6,15,1933.7499999999998,58.01249999999999
1,7,6,16,2023.0,60.69
1,7,6,17,2082.5,62.475
1,7,6,18,1784.9999999999998,53.54999999999999
1,7,6,19,1487.5,44.625
1,7,6,20,1189.9999999999998,35.699999999999996
1,7,6,21,951.9999999999999,28.56
1,7,6,22,654.4999999999999,19.634999999999998
1,7,6,23,505.75,15.1725
1,8,0,0,510.0,15.3
1,8,0,1,340.0,10.200000000000001
1,8,0,2,297.5,8.925
1,8,0,3,297.5,8.925
1,8,0,4,425.0,12.75
1,8,0,5,850.0,25.5
1,8,0,6,1912.5,57.375
1,8,0,7,2762.5,82.875
1,8,0,8,2975.0000000000005,89.25000000000001
1,8,0,9,2550.0,76.5
1,8,0,10,2337.5,70.125
1,8,0,11,2337.5,70.125
1,8,0,12,2337.5,70.125
1,8,0,13,2337.5,70.125
1,8,0,14,2465.0,73.95
1,8,0,15,2635.0,79.05000000000001
1,8,0,16,2890.0,86.7
1,8,0,17,2975.0000000000005,89.25000000000001
1,8,0,18,2635.0,79.05000000000001
1,8,0,19,2125.0,63.75
1,8,0,20,1700.0,51.0
1,8,0,21,1360.0,40.800000000000004
1,8,0,22,935.0,28.05
1,8,0,23,637.5,19.125
1,9,1,0,520.2,15.606000000000002
1,9,1,1,346.8,10.404000000000002
1,9,1,2,303.45,9.1035
1,9,1,3,303.45,9.1035
1,9,1,4,433.5,13.004999999999999
1,9,1,5,867.0,26.009999999999998
1,9,1,6,1950.75,58.52250000000001
1,9,1,7,2817.75,84.5325
1,9,1,8,3034.5000000000005,91.03500000000003
1,9,1,9,2601.0,78.03
1,9,1,10,2384.25,71.5275
1,9,1,11,2384.25,71.5275
1,9,1,12,2384.25,71.5275
1,9,1,13,2384.25,71.5275
1,9,1,14,2514.3,75.42900000000002
1,9,1,15,2687.7,80.631
1,9,1,16,2947.8,88.43400000000001
1,9,1,17,3034.5000000000005,91.03500000000003
1,9,1,18,2687.7,80.631
1,9,1,19,2167.5,65.025
1,9,1,20,1734.0,52.019999999999996
1,9,1,21,1387.2,41.61600000000001
1,9,1,22,953.6999999999999,28.610999999999997
1,9,1,23,650.25,19.5075
1,10,2,0,525.3,15.758999999999999
1,10,2,1,350.2,10.506
1,10,2,2,306.425,9.19275
1,10,2,3,306.425,9.19275
1,10,2,4,437.75,13.1325
1,10,2,5,875.5,26.265
1,10,2,6,1969.875,59.09625
1,10,2,7,2845.375,85.36125
1,10,2,8,3064.2500000000005,91.92750000000001
1,10,2,9,2626.5,78.795
1,10,2,10,2407.625,72.22875
1,10,2,11,2407.625,72.22875
1,10,2,12,2407.625,72.22875
1,10,2,13,2407.625,72.22875
1,10,2,14,2538.9500000000003,76.16850000000001
1,10,2,15,2714.05,81.42150000000001
1,10,2,16,2976.7000000000003,89.30100000000002
1,10,2,17,3064.2500000000005,91.92750000000001
1,10,2,18,2714.05,81.42150000000001
1,10,2,19,2188.75,65.66250000000001
1,10,2,20,1751.0,52.53
1,10,2,21,1400.8,42.024
1,10,2,22,963.05,28.891499999999997
1,10,2,23,656.625,19.69875
1,11,3,0,520.2,15.606000000000002
1,11,3,1,346.8,10.404000000000002
1,11,3,2,303.45,9.1035
1,11,3,3,303.45,9.1035
1,11,3,4,433.5,13.004999999999999
1,11,3,5,867.0,26.009999999999998
1,11,3,6,1950.75,58.52250000000001
1,11,3,7,2817.75,84.5325
1,11,3,8,3034.5000000000005,91.03500000000003
1,11,3,9,2601.0,78.03
1,11,3,10,2384.25,71.5275
1,11,3,11,2384.25,71.5275
1,11,3,12,2384.25,71.5275
1,11,3,13,2384.25,71.5275
1,11,3,14,2514.3,75.42900000000002
1,11,3,15,2687.7,80.631
1,11,3,16,2947.8,88.43400000000001
1,11,3,17,3034.5000000000005,91.03500000000003
1,11,3,18,2687.7,80.631
1,11,3,19,2167.5,65.025
1,11,3,20,1734.0,52.019999999999996
1,11,3,21,1387.2,41.61600000000001
1,11,3,22,953.6999999999999,28.610999999999997
1,11,3,23,650.25,19.5075
1,12,4,0,535.5,16.065
1,12,4,1,357.0,10.71
1,12,4,2,312.375,9.37125
1,12,4,3,312.375,9.37125
1,12,4,4,446.25,13.387500000000001
1,12,4,5,892.5,26.775000000000002
1,12,4,6,2008.125,60.243750000000006
1,12,4,7,2900.625,87.01875000000001
1,12,4,8,3123.7500000000005,93.71250000000002
1,12,4,9,2677.5,80.325
1,12,4,10,2454.375,73.63125000000001
1,12,4,11,2454.375,73.63125000000001
1,12,4,12,2454.375,73.63125000000001
1,12,4,13,2454.375,73.63125000000001
1,12,4,14,2588.25,77.64750000000001
1,12,4,15,2766.75,83.0025
1,12,4,16,3034.5,91.03500000000001
1,12,4,17,3123.7500000000005,93.71250000000002
1,12,4,18,2766.75,83.0025
1,12,4,19,2231.25,66.9375
1,12,4,20,1785.0,53.550000000000004
1,12,4,21,1428.0,42.84
1,12,4,22,981.7499999999999,29.4525
1,12,4,23,669.375,20.08125
1,13,5,0,541.875,16.25625
1,13,5,1,361.25,10.8375
1,13,5,2,289.0,8.67
1,13,5,3,252.875,7.58625
1,13,5,4,289.0,8.67
1,13,5,5,433.5,13.004999999999999
1,13,5,6,903.125,27.09375
1,13,5,7,1445.0,43.35
1,13,5,8,1986.875,59.60625
1,13,5,9,2348.125,70.44375000000001
1,13,5,10,2456.5,73.695
1,13,5,11,2456.5,73.695
1,13,5,12,2348.125,70.44375000000001
1,13,5,13,2239.75,67.1925
1,13,5,14,2167.5,65.025
1,13,5,15,2095.25,62.857499999999995
1,13,5,16,1986.875,59.60625
