month,day,hour,ghi_wm2,wind_speed_ms,temperature_c
1,1,0,0.0,4.0,-1.8
1,1,1,0.0,5.2,-1.8
1,1,2,0.0,4.4,1.0
1,1,3,0.0,6.3,-0.2
1,1,4,0.0,4.8,-2.1
1,1,5,0.0,4.9,-0.6
1,1,6,0.0,5.1,1.4
1,1,7,0.0,4.9,-0.8
1,1,8,0.0,4.9,1.5
1,1,9,59.8,4.9,4.3
1,1,10,119.9,4.8,4.6
1,1,11,139.3,4.7,2.7
1,1,12,154.2,4.6,4.1
1,1,13,148.9,3.9,4.4
1,1,14,114.5,3.8,5.7
1,1,15,61.3,3.8,2.0
1,1,16,0.0,4.6,3.3
1,1,17,0.0,3.3,3.4
1,1,18,0.0,3.4,-0.5
1,1,19,0.0,4.1,-3.8
1,1,20,0.0,3.7,-3.4
1,1,21,0.0,3.5,-2.7
1,1,22,0.0,4.3,-0.5
1,1,23,0.0,4.5,-0.1
1,2,0,0.0,4.0,-3.7
1,2,1,0.0,4.4,0.2
1,2,2,0.0,4.9,0.4
1,2,3,0.0,5.7,-2.7
1,2,4,0.0,5.3,-3.0
1,2,5,0.0,5.5,-1.5
1,2,6,0.0,5.1,3.2
1,2,7,0.0,5.1,2.5
1,2,8,0.0,4.7,2.4
1,2,9,56.8,5.1,3.7
1,2,10,111.3,4.5,5.8
1,2,11,148.1,4.9,4.9
1,2,12,155.7,4.1,4.7
1,2,13,160.8,4.6,4.2
1,2,14,117.2,3.7,4.8
1,2,15,65.4,3.8,4.3
1,2,16,0.0,3.4,1.9
1,2,17,0.0,3.5,1.5
1,2,18,0.0,3.2,1.4
1,2,19,0.0,3.6,-1.0
1,2,20,0.0,3.4,-3.5
1,2,21,0.0,3.6,-2.0
1,2,22,0.0,4.0,-1.6
1,2,23,0.0,4.4,-0.8
1,3,0,0.0,4.2,-4.3
1,3,1,0.0,4.2,-1.4
1,3,2,0.0,4.4,-1.3
1,3,3,0.0,4.7,2.3
1,3,4,0.0,4.8,-1.7
1,3,5,0.0,5.1,-0.9
1,3,6,0.0,4.9,2.7
1,3,7,0.0,5.4,3.2
1,3,8,0.0,5.2,5.1
1,3,9,58.7,4.6,1.7
1,3,10,114.3,4.4,3.0
1,3,11,143.9,4.8,4.0
1,3,12,141.5,4.5,2.7
1,3,13,134.4,4.4,5.0
1,3,14,106.4,4.9,3.3
1,3,15,62.0,3.6,3.3
1,3,16,0.0,3.7,4.6
1,3,17,0.0,3.6,2.8
1,3,18,0.0,4.3,0.5
1,3,19,0.0,4.4,-1.7
1,3,20,0.0,3.5,-3.6
1,3,21,0.0,4.1,0.4
1,3,22,0.0,3.6,-0.5
1,3,23,0.0,3.9,0.4
1,4,0,0.0,4.6,-1.1
1,4,1,0.0,4.7,-3.2
1,4,2,0.0,4.5,-0.3
1,4,3,0.0,4.8,-2.8
1,4,4,0.0,5.6,-0.2
1,4,5,0.0,5.3,0.5
1,4,6,0.0,5.0,-0.3
1,4,7,0.0,4.9,2.3
1,4,8,0.1,5.8,2.9
1,4,9,45.5,5.4,4.3
1,4,10,82.3,4.5,4.1
1,4,11,111.3,4.4,8.9
1,4,12,107.3,5.4,3.4
1,4,13,115.4,5.0,5.6
1,4,14,80.5,5.3,5.2
1,4,15,47.1,3.6,3.7
1,4,16,0.1,3.4,2.3
1,4,17,0.0,3.6,3.3
1,4,18,0.0,3.6,1.3
1,4,19,0.0,3.3,-0.8
1,4,20,0.0,4.4,-1.3
1,4,21,0.0,4.1,-3.1
1,4,22,0.0,3.8,0.2
1,4,23,0.0,4.0,0.2
1,5,0,0.0,4.8,-0.6
1,5,1,0.0,4.7,4.4
1,5,2,0.0,5.5,0.0
1,5,3,0.0,4.8,-0.4
1,5,4,0.0,5.1,-2.6
1,5,5,0.0,4.8,-1.8
1,5,6,0.0,5.0,4.5
1,5,7,0.0,5.2,-0.8
1,5,8,0.6,5.1,1.7
1,5,9,55.7,4.7,3.3
1,5,10,99.9,4.9,8.0
1,5,11,132.5,6.1,7.6
1,5,12,138.6,4.2,6.6
1,5,13,126.5,3.8,3.9
1,5,14,90.4,3.7,3.3
1,5,15,50.4,3.6,6.3
1,5,16,0.7,3.5,4.4
1,5,17,0.0,4.8,3.9
1,5,18,0.0,3.7,1.6
1,5,19,0.0,3.5,1.1
1,5,20,0.0,4.0,-2.5
1,5,21,0.0,3.4,-3.3
1,5,22,0.0,3.7,-1.8
1,5,23,0.0,4.1,1.4
1,6,0,0.0,4.0,0.9
1,6,1,0.0,4.4,0.6
1,6,2,0.0,5.4,-1.3
1,6,3,0.0,5.1,2.1
1,6,4,0.0,5.1,-1.7
1,6,5,0.0,6.2,-1.3
1,6,6,0.0,5.3,-1.8
1,6,7,0.0,5.1,4.0
1,6,8,0.9,6.3,2.8
1,6,9,39.2,4.7,4.7
1,6,10,62.5,4.4,4.9
1,6,11,84.9,5.1,3.9
1,6,12,87.3,4.1,4.1
1,6,13,90.2,4.3,6.1
1,6,14,71.3,3.8,5.7
1,6,15,34.9,4.1,4.8
1,6,16,0.9,3.5,3.0
1,6,17,0.0,4.0,2.2
1,6,18,0.0,4.2,1.8
1,6,19,0.0,3.5,-1.7
1,6,20,0.0,3.4,-0.2
1,6,21,0.0,4.6,-0.2
1,6,22,0.0,3.8,0.6
1,6,23,0.0,4.9,-1.4
1,7,0,0.0,4.2,-2.6
1,7,1,0.0,4.4,1.7
1,7,2,0.0,5.2,0.3
1,7,3,0.0,5.3,-0.2
1,7,4,0.0,4.7,-1.4
1,7,5,0.0,5.2,-2.7
1,7,6,0.0,5.0,2.5
1,7,7,0.0,4.8,1.8
1,7,8,2.1,4.7,3.9
1,7,9,57.7,5.2,5.9
1,7,10,104.6,4.4,5.3
1,7,11,136.2,6.4,6.2
1,7,12,154.6,5.5,6.7
1,7,13,157.5,4.5,4.1
1,7,14,110.1,4.8,1.4
1,7,15,58.0,3.8,6.2
1,7,16,2.0,3.4,2.0
1,7,17,0.0,3.3,2.0
1,7,18,0.0,3.6,2.9
1,7,19,0.0,4.9,-0.2
1,7,20,0.0,4.3,-3.6
1,7,21,0.0,3.6,-2.7
1,7,22,0.0,6.1,-1.3
1,7,23,0.0,3.8,0.1
1,8,0,0.0,4.5,-2.0
1,8,1,0.0,4.6,1.4
1,8,2,0.0,4.9,-1.6
1,8,3,0.0,4.7,0.1
1,8,4,0.0,4.9,-1.6
1,8,5,0.0,5.2,-3.4
1,8,6,0.0,5.6,-1.9
1,8,7,0.0,5.3,2.6
1,8,8,2.8,6.0,1.0
1,8,9,64.9,4.6,6.6
1,8,10,102.0,6.6,6.2
1,8,11,135.2,4.7,4.2
1,8,12,151.8,4.3,4.8
1,8,13,138.0,3.8,6.7
1,8,14,117.0,4.3,4.5
1,8,15,65.7,4.4,3.9
1,8,16,2.8,4.8,1.4
1,8,17,0.0,3.7,1.8
1,8,18,0.0,3.7,2.1
1,8,19,0.0,3.4,-3.1
1,8,20,0.0,3.7,-0.9
1,8,21,0.0,4.2,-2.5
1,8,22,0.0,4.0,0.4
1,8,23,0.0,4.2,-1.3
1,9,0,0.0,4.6,-0.4
1,9,1,0.0,4.3,0.7
1,9,2,0.0,4.6,0.2
1,9,3,0.0,4.9,-4.0
1,9,4,0.0,5.1,-1.8
1,9,5,0.0,5.5,-0.3
1,9,6,0.0,5.8,3.4
1,9,7,0.0,6.3,-0.0
1,9,8,2.2,4.8,3.0
1,9,9,37.8,6.5,5.0
1,9,10,68.0,4.5,6.1
1,9,11,82.1,4.3,2.7
1,9,12,89.4,4.2,3.3
1,9,13,93.8,4.1,5.6
1,9,14,69.9,3.6,3.8
1,9,15,36.0,3.6,3.1
1,9,16,2.2,3.5,0.8
1,9,17,0.0,3.6,1.7
1,9,18,0.0,4.0,0.8
1,9,19,0.0,3.7,-1.3
1,9,20,0.0,4.0,-0.1
1,9,21,0.0,3.5,-2.3
1,9,22,0.0,3.9,-2.2
1,9,23,0.0,4.3,-3.2
1,10,0,0.0,5.1,-0.1
1,10,1,0.0,4.6,-2.9
1,10,2,0.0,4.7,-2.9
1,10,3,0.0,4.9,-1.3
1,10,4,0.0,4.9,-2.6
1,10,5,0.0,4.8,-2.8
1,10,6,0.0,5.0,-0.6
1,10,7,0.0,4.8,1.1
1,10,8,6.8,5.5,5.5
1,10,9,86.5,4.6,5.2
1,10,10,155.0,4.7,6.7
1,10,11,187.0,4.4,5.7
1,10,12,209.9,4.2,6.4
1,10,13,214.7,4.3,7.7
1,10,14,147.5,3.7,3.5
1,10,15,83.5,3.5,3.1
1,10,16,6.8,3.6,3.1
1,10,17,0.0,5.2,0.8
1,10,18,0.0,4.9,0.6
1,10,19,0.0,4.2,-2.8
