step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
0,2024-01-15 06:01:00,3a4f5dd5,0,0,1,1,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,36.252319281743794,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8725046385634875
1,2024-01-15 06:02:00,3a4f5dd5,0,0,2,2,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,45.27966674780749,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8905593334956149
2,2024-01-15 06:03:00,3a4f5dd5,0,0,5,5,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.99387480995958,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9139877496199191
3,2024-01-15 06:04:00,3a4f5dd5,0,0,7,7,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.00560279039779,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9240112055807955
4,2024-01-15 06:05:00,3a4f5dd5,0,0,8,8,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.82640050007061,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9256528010001411
5,2024-01-15 06:06:00,3a4f5dd5,0,0,12,12,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.851253107373694,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9237025062147474
6,2024-01-15 06:07:00,3a4f5dd5,0,0,12,12,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.16922911671418,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9223384582334283
7,2024-01-15 06:08:00,3a4f5dd5,0,0,15,15,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.94174539040992,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9218834907808198
8,2024-01-15 06:09:00,3a4f5dd5,0,0,18,18,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.05292494628812,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9181058498925762
9,2024-01-15 06:10:00,3a4f5dd5,0,0,21,21,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.29935882475967,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9185987176495193
10,2024-01-15 06:11:00,3a4f5dd5,0,0,22,22,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,57.76516020488687,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9155303204097737
11,2024-01-15 06:12:00,3a4f5dd5,0,0,22,22,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.93353738801549,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9138670747760309
12,2024-01-15 06:13:00,3a4f5dd5,0,0,23,23,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.47439482935791,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9129487896587157
13,2024-01-15 06:14:00,3a4f5dd5,0,0,23,23,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,55.444684302325534,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.910889368604651
14,2024-01-15 06:15:00,3a4f5dd5,0,0,24,24,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,53.74976722401771,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9074995344480353
15,2024-01-15 06:16:00,3a4f5dd5,0,0,24,24,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,52.96277064502527,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9059255412900505
16,2024-01-15 06:17:00,3a4f5dd5,0,0,24,24,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,51.76307109807644,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9035261421961528
17,2024-01-15 06:18:00,3a4f5dd5,0,0,25,25,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,52.42710336397652,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.904854206727953
18,2024-01-15 06:19:00,3a4f5dd5,0,0,27,27,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,52.71572075999762,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9054314415199952
