step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score,energy_available_kw,energy_demand_kw,energy_curtailment_kw,chargers_unpowered,vehicles_requeued_energy
0,2024-01-15 06:01:00,7db8b6f0,0,0,1,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,73.21491439927847,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9464298287985569,0.0,0.0,0.0,0,0
1,2024-01-15 06:02:00,7db8b6f0,0,0,2,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,79.93640638634577,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9598728127726915,0.0,0.0,0.0,0,0
2,2024-01-15 06:03:00,7db8b6f0,0,0,2,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,78.96926524344475,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9579385304868895,0.0,0.0,0.0,0,0
3,2024-01-15 06:04:00,7db8b6f0,0,0,3,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,80.14991594757697,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9602998318951539,0.0,0.0,0.0,0,0
4,2024-01-15 06:05:00,7db8b6f0,0,0,3,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,79.64361044326644,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9592872208865328,0.0,0.0,0.0,0,0
5,2024-01-15 06:06:00,7db8b6f0,0,0,4,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,76.12499713209829,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9522499942641965,0.0,0.0,0.0,0,0
6,2024-01-15 06:07:00,7db8b6f0,0,0,4,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,75.52640285201926,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9510528057040385,0.0,0.0,0.0,0,0
7,2024-01-15 06:08:00,7db8b6f0,0,0,5,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,75.02361846862463,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9500472369372492,0.0,0.0,0.0,0,0
8,2024-01-15 06:09:00,7db8b6f0,0,0,5,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,74.37328407546214,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9487465681509243,0.0,0.0,0.0,0,0
9,2024-01-15 06:10:00,7db8b6f0,0,0,5,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,73.64770732633488,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9472954146526696,0.0,0.0,0.0,0,0
10,2024-01-15 06:11:00,7db8b6f0,0,0,6,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,72.5324914991348,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9450649829982696,0.0,0.0,0.0,0,0
11,2024-01-15 06:12:00,7db8b6f0,0,0,6,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,71.93831616651804,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.943876632333036,0.0,0.0,0.0,0,0
