step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
0,2024-01-15 06:01:00,89b62ac4,0,0,23,23,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.00693726242387,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9200138745248477
1,2024-01-15 06:02:00,89b62ac4,0,0,41,41,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.80934119801811,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9236186823960362
2,2024-01-15 06:03:00,89b62ac4,0,0,67,67,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,63.301697095306544,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.926603394190613
3,2024-01-15 06:04:00,89b62ac4,0,0,90,90,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.599534678888105,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9231990693577762
4,2024-01-15 06:05:00,89b62ac4,0,0,102,102,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.71091662521337,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9194218332504267
5,2024-01-15 06:06:00,89b62ac4,0,0,128,128,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.8641463832887,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9197282927665773
6,2024-01-15 06:07:00,89b62ac4,0,0,160,160,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.89130382646694,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9197826076529338
7,2024-01-15 06:08:00,89b62ac4,0,0,178,178,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.26456169548199,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9185291233909639
8,2024-01-15 06:09:00,89b62ac4,0,0,205,205,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.47720113209998,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9189544022641999
9,2024-01-15 06:10:00,89b62ac4,0,0,228,228,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.12399330419503,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.91824798660839
10,2024-01-15 06:11:00,89b62ac4,0,0,256,256,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.28682774688583,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9185736554937716
11,2024-01-15 06:12:00,89b62ac4,0,0,276,276,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,58.742830686736156,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9174856613734722
12,2024-01-15 06:13:00,89b62ac4,0,0,306,306,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,58.24564583143202,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.916491291662864
13,2024-01-15 06:14:00,89b62ac4,0,0,340,340,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,58.01144928680437,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9160228985736086
14,2024-01-15 06:15:00,89b62ac4,0,0,364,364,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,57.42512384811088,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9148502476962217
15,2024-01-15 06:16:00,89b62ac4,0,0,384,384,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.7731002443274,0,2,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9135462004886548
16,2024-01-15 06:17:00,89b62ac4,0,0,409,409,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.24616057694261,0,4,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9124923211538851
17,2024-01-15 06:18:00,89b62ac4,0,0,448,448,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,55.77972117063986,0,5,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9115594423412797
18,2024-01-15 06:19:00,89b62ac4,0,0,474,474,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,55.37052197113388,0,7,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9107410439422677
19,2024-01-15 06:20:00,89b62ac4,0,0,495,495,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,54.994803148213514,0,8,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.909989606296427
20,2024-01-15 06:21:00,89b62ac4,0,0,516,516,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,54.44759076742044,0,8,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9088951815348408
21,2024-01-15 06:22:00,89b62ac4,0,0,548,548,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,53.85291762583414,1,10,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8877058352516682
22,2024-01-15 06:23:00,89b62ac4,0,0,574,574,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,53.309696490812264,2,12,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8666193929816246
23,2024-01-15 06:24:00,89b62ac4,0,0,594,595,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,52.89213055773998,3,16,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.84578426111548
