step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
0,2024-01-15 06:01:00,9c9aa147,0,0,66,66,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,63.772876198720475,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9275457523974409
1,2024-01-15 06:02:00,9c9aa147,0,0,132,132,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,63.05319581680373,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9261063916336074
2,2024-01-15 06:03:00,9c9aa147,0,0,198,198,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.06411716067811,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9241282343213562
3,2024-01-15 06:04:00,9c9aa147,0,0,265,265,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.725633967511186,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9234512679350223
4,2024-01-15 06:05:00,9c9aa147,0,0,332,332,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.016520799971055,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.922033041599942
5,2024-01-15 06:06:00,9c9aa147,0,0,398,398,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.60017912703803,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.921200358254076
6,2024-01-15 06:07:00,9c9aa147,0,0,465,465,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.16180530479092,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9203236106095818
7,2024-01-15 06:08:00,9c9aa147,0,0,533,533,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.69527383272967,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9193905476654592
8,2024-01-15 06:09:00,9c9aa147,0,0,599,599,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.602085059570065,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9192041701191401
9,2024-01-15 06:10:00,9c9aa147,0,0,666,666,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,58.944864385867156,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9178897287717342
10,2024-01-15 06:11:00,9c9aa147,0,0,734,734,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,58.27239436555575,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9165447887311114
11,2024-01-15 06:12:00,9c9aa147,0,0,800,800,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,58.04966317642699,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.916099326352854
12,2024-01-15 06:13:00,9c9aa147,0,0,866,866,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,57.64187258532749,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9152837451706549
13,2024-01-15 06:14:00,9c9aa147,0,0,934,934,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,57.350385438137344,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9147007708762747
14,2024-01-15 06:15:00,9c9aa147,0,0,1002,1002,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.90817211008755,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9138163442201751
15,2024-01-15 06:16:00,9c9aa147,0,0,1070,1070,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.62187516378548,0,3,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9132437503275709
16,2024-01-15 06:17:00,9c9aa147,0,0,1136,1136,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,56.15446456682219,0,4,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9123089291336444
17,2024-01-15 06:18:00,9c9aa147,0,0,1202,1202,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,55.796025470450395,0,4,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9115920509409007
18,2024-01-15 06:19:00,9c9aa147,0,0,1269,1269,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,55.043820109437036,0,7,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.910087640218874
19,2024-01-15 06:20:00,9c9aa147,0,0,1336,1336,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,54.627655294512245,0,12,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9092553105890244
20,2024-01-15 06:21:00,9c9aa147,0,0,1403,1403,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,54.297980341257066,0,18,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9085959606825141
21,2024-01-15 06:22:00,9c9aa147,0,0,1469,1469,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,53.85273544127094,0,22,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9077054708825418
