step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
0,2024-01-15 06:01:00,9f8d9dc0,0,0,134,134,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,64.23904569313181,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9284780913862636
1,2024-01-15 06:02:00,9f8d9dc0,0,0,267,267,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,64.00556891152475,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9280111378230494
2,2024-01-15 06:03:00,9f8d9dc0,0,0,401,401,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,63.7021396123851,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9274042792247702
3,2024-01-15 06:04:00,9f8d9dc0,0,0,534,534,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,63.175803372494435,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9263516067449888
4,2024-01-15 06:05:00,9f8d9dc0,0,0,667,667,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.70012524463261,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9254002504892652
5,2024-01-15 06:06:00,9f8d9dc0,0,0,800,800,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.10120671433641,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9242024134286727
6,2024-01-15 06:07:00,9f8d9dc0,0,0,934,934,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.57697863055519,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9231539572611104
7,2024-01-15 06:08:00,9f8d9dc0,0,0,1067,1067,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.93944892381151,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.921878897847623
8,2024-01-15 06:09:00,9f8d9dc0,0,0,1200,1200,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.54481274956658,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9210896254991331
9,2024-01-15 06:10:00,9f8d9dc0,0,0,1333,1333,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.20221398660895,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9204044279732179
