step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score,energy_available_kw,energy_demand_kw,energy_curtailment_kw,chargers_unpowered,vehicles_requeued_energy
0,2024-01-15 06:01:00,e89fbc93,0,0,2,2,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,48.389996488873486,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8967799929777469,0.0,0.0,0.0,0,0
1,2024-01-15 06:02:00,e89fbc93,0,0,2,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,46.909915883646775,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8938198317672935,0.0,0.0,0.0,0,0
2,2024-01-15 06:03:00,e89fbc93,0,0,2,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,45.313772224701324,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8906275444494026,0.0,0.0,0.0,0,0
3,2024-01-15 06:04:00,e89fbc93,0,0,3,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,50.745953014957315,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9014919060299146,0.0,0.0,0.0,0,0
4,2024-01-15 06:05:00,e89fbc93,0,0,3,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,50.091212916704954,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9001824258334098,0.0,0.0,0.0,0,0
5,2024-01-15 06:06:00,e89fbc93,0,0,3,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,49.37818599545764,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8987563719909152,0.0,0.0,0.0,0,0
6,2024-01-15 06:07:00,e89fbc93,0,0,6,3,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,57.230707197935715,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9144614143958714,0.0,0.0,0.0,0,0
7,2024-01-15 06:08:00,e89fbc93,0,0,9,3,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,56.52315345560118,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9130463069112024,0.0,0.0,0.0,0,0
8,2024-01-15 06:09:00,e89fbc93,0,0,9,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,55.60874047561346,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9112174809512269,0.0,0.0,0.0,0,0
9,2024-01-15 06:10:00,e89fbc93,0,0,10,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,56.24490588128984,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9124898117625796,0.0,0.0,0.0,0,0
10,2024-01-15 06:11:00,e89fbc93,0,0,10,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,55.443770381008825,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9108875407620176,0.0,0.0,0.0,0,0
11,2024-01-15 06:12:00,e89fbc93,0,0,10,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,54.68834965671932,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9093766993134386,0.0,0.0,0.0,0,0
12,2024-01-15 06:13:00,e89fbc93,0,0,12,2,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,53.977565786792645,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9079551315735852,0.0,0.0,0.0,0,0
