step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score,energy_available_kw,energy_demand_kw,energy_curtailment_kw,chargers_unpowered,vehicles_requeued_energy
0,2024-01-15 06:01:00,f0c53826,0,0,1,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,47.722377191203776,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8954447543824074,0.0,0.0,0.0,0,0
1,2024-01-15 06:02:00,f0c53826,0,0,1,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,46.864592626705125,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8937291852534102,0.0,0.0,0.0,0,0
2,2024-01-15 06:03:00,f0c53826,0,0,1,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,44.610943276516956,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8892218865530338,0.0,0.0,0.0,0,0
3,2024-01-15 06:04:00,f0c53826,0,0,1,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,43.59307391594893,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8871861478318978,0.0,0.0,0.0,0,0
4,2024-01-15 06:05:00,f0c53826,0,0,2,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,50.507830643847825,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9010156612876956,0.0,0.0,0.0,0,0
5,2024-01-15 06:06:00,f0c53826,0,0,2,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,49.59745622135083,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8991949124427016,0.0,0.0,0.0,0,0
6,2024-01-15 06:07:00,f0c53826,0,0,4,2,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,52.96791500022253,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.905935830000445,0.0,0.0,0.0,0,0
7,2024-01-15 06:08:00,f0c53826,0,0,4,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,51.872689680889735,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9037453793617795,0.0,0.0,0.0,0,0
8,2024-01-15 06:09:00,f0c53826,0,0,5,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,47.04247871018584,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8940849574203716,0.0,0.0,0.0,0,0
9,2024-01-15 06:10:00,f0c53826,0,0,5,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,46.0028948761204,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8920057897522408,0.0,0.0,0.0,0,0
10,2024-01-15 06:11:00,f0c53826,0,0,6,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,49.389250725992405,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8987785014519848,0.0,0.0,0.0,0,0
11,2024-01-15 06:12:00,f0c53826,0,0,6,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,48.23953449805363,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.8964790689961072,0.0,0.0,0.0,0,0
