step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
0,2024-01-15 06:01:00,fd0a166c,0,0,35,35,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,64.73024593349018,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9294604918669803
1,2024-01-15 06:02:00,fd0a166c,0,0,78,78,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.58925912098224,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9251785182419644
2,2024-01-15 06:03:00,fd0a166c,0,0,113,113,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.75219045371638,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9255043809074327
3,2024-01-15 06:04:00,fd0a166c,0,0,159,159,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.936052927225816,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9238721058544516
4,2024-01-15 06:05:00,fd0a166c,0,0,209,209,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.01565392980832,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9240313078596166
5,2024-01-15 06:06:00,fd0a166c,0,0,259,259,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.72674947052488,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9234534989410497
6,2024-01-15 06:07:00,fd0a166c,0,0,312,312,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,62.02137050168178,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9240427410033635
7,2024-01-15 06:08:00,fd0a166c,0,0,359,359,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,61.181785982673254,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9223635719653465
8,2024-01-15 06:09:00,fd0a166c,0,0,398,398,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.95569732832436,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9219113946566487
9,2024-01-15 06:10:00,fd0a166c,0,0,451,451,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,60.36473903686446,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9207294780737288
10,2024-01-15 06:11:00,fd0a166c,0,0,497,497,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.50470800761446,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9190094160152289
11,2024-01-15 06:12:00,fd0a166c,0,0,548,548,0,0,0.0,0,0,18,0.0,0.0,0.0,0.0,3,0,0,59.10788478107519,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9182157695621503
